,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,uid
67241,1987.0,11.0,16,1.0,2202.0,2155.0,2259.0,2257.0,UA,1544.0,,57.0,62.0,,2.0,7.0,3.0,MRY,267.0,,,0.0,,0.0,,,,,,
181625,1987.0,11.0,19,4.0,1909.0,1900.0,2036.0,2023.0,US,690.0,,87.0,83.0,,13.0,9.0,2.0,BOS,399.0,,,0.0,,0.0,,,,,,
109465,1987.0,12.0,16,3.0,2252.0,2215.0,619.0,611.0,AA,92.0,,267.0,296.0,,8.0,37.0,3.0,IAD,2288.0,,,0.0,,0.0,,,,,,
5350,1987.0,11.0,20,5.0,2006.0,1945.0,2304.0,2211.0,PS,1723.0,,178.0,146.0,,53.0,21.0,3.0,SEA,954.0,,,0.0,,0.0,,,,,,
78001,1987.0,10.0,1,4.0,2151.0,2147.0,2304.0,2257.0,DL,1949.0,,73.0,70.0,,7.0,4.0,3.0,SMF,373.0,,,0.0,,0.0,,,,,,
152723,1987.0,10.0,28,3.0,1718.0,1720.0,1820.0,1835.0,UA,1224.0,,62.0,75.0,,-15.0,-2.0,8.0,BDL,326.0,,,0.0,,0.0,,,,,,
4515,1987.0,12.0,22,2.0,1245.0,1200.0,1351.0,1312.0,PS,1727.0,,66.0,72.0,,39.0,45.0,3.0,SFO,337.0,,,0.0,,0.0,,,,,,
124691,1987.0,11.0,10,2.0,936.0,930.0,1021.0,1006.0,DL,1795.0,,45.0,36.0,,15.0,6.0,3.0,SAN,109.0,,,0.0,,0.0,,,,,,
211497,1987.0,12.0,26,6.0,1751.0,1750.0,1901.0,1859.0,PS,1827.0,,70.0,69.0,,2.0,1.0,3.0,SMF,373.0,,,0.0,,0.0,,,,,,
137165,1987.0,12.0,15,2.0,1130.0,1100.0,1242.0,1216.0,AA,949.0,,72.0,76.0,,26.0,30.0,14.0,DFW,328.0,,,0.0,,0.0,,,,,,
89401,1987.0,12.0,16,3.0,1503.0,1400.0,1630.0,1509.0,AA,2229.0,,87.0,69.0,,81.0,63.0,3.0,OAK,337.0,,,0.0,,0.0,,,,,,
91199,1987.0,12.0,1,2.0,1530.0,1530.0,1658.0,1636.0,UA,1294.0,,88.0,66.0,,22.0,0.0,8.0,EWR,213.0,,,0.0,,0.0,,,,,,
248537,1987.0,10.0,28,3.0,1503.0,1445.0,1540.0,1521.0,DL,1708.0,,37.0,36.0,,19.0,18.0,3.0,SAN,109.0,,,0.0,,0.0,,,,,,
111055,1987.0,10.0,9,5.0,713.0,715.0,840.0,835.0,PI,505.0,,87.0,80.0,,5.0,-2.0,2.0,DAY,391.0,,,0.0,,0.0,,,,,,
19929,1987.0,10.0,30,5.0,845.0,845.0,1005.0,1017.0,TW,507.0,,140.0,152.0,,-12.0,0.0,6.0,STL,880.0,,,0.0,,0.0,,,,,,
239616,1987.0,12.0,31,4.0,1305.0,1255.0,1538.0,1525.0,AS,172.0,,153.0,150.0,,13.0,10.0,0.0,LAX,954.0,,,0.0,,0.0,,,,,,
261396,1987.0,11.0,6,5.0,1615.0,1615.0,1652.0,1655.0,AS,62.0,,37.0,40.0,,-3.0,0.0,0.0,PDX,129.0,,,0.0,,0.0,,,,,,
174547,1987.0,11.0,24,2.0,1308.0,1309.0,1410.0,1409.0,AA,391.0,,122.0,120.0,,1.0,-1.0,2.0,ORD,612.0,,,0.0,,0.0,,,,,,
34046,1987.0,10.0,16,5.0,1125.0,1115.0,1228.0,1220.0,HP,412.0,,63.0,65.0,,8.0,10.0,3.0,PHX,370.0,,,0.0,,0.0,,,,,,
156437,1987.0,12.0,7,1.0,919.0,920.0,1121.0,1107.0,UA,987.0,,242.0,227.0,,14.0,-1.0,6.0,DEN,1545.0,,,0.0,,0.0,,,,,,
190711,1987.0,10.0,21,3.0,1216.0,1215.0,1419.0,1428.0,US,284.0,,123.0,133.0,,-9.0,1.0,6.0,PHL,861.0,,,0.0,,0.0,,,,,,
183108,1987.0,11.0,11,3.0,2028.0,2028.0,2249.0,2238.0,TW,132.0,,81.0,70.0,,11.0,0.0,1.0,DAY,338.0,,,0.0,,0.0,,,,,,
132839,1987.0,11.0,13,5.0,1145.0,1145.0,1240.0,1245.0,WN,349.0,,55.0,60.0,,-5.0,0.0,10.0,STL,251.0,,,0.0,,0.0,,,,,,
158708,1987.0,10.0,19,1.0,1105.0,1055.0,1340.0,1308.0,DL,1571.0,,335.0,313.0,,32.0,10.0,3.0,OGG,2486.0,,,0.0,,0.0,,,,,,
96586,1987.0,11.0,9,1.0,1554.0,1553.0,2101.0,2044.0,AA,306.0,,187.0,171.0,,17.0,1.0,3.0,DFW,1235.0,,,0.0,,0.0,,,,,,
159167,1987.0,11.0,20,5.0,733.0,730.0,1018.0,955.0,AS,170.0,,165.0,145.0,,23.0,3.0,0.0,LAX,954.0,,,0.0,,0.0,,,,,,
152609,1987.0,10.0,11,7.0,1328.0,1326.0,1533.0,1537.0,TW,228.0,,65.0,71.0,,-4.0,2.0,1.0,DAY,338.0,,,0.0,,0.0,,,,,,
229178,1987.0,12.0,15,2.0,2131.0,1942.0,2323.0,2129.0,DL,531.0,,112.0,107.0,,114.0,109.0,2.0,ATL,547.0,,,0.0,,0.0,,,,,,
23869,1987.0,11.0,12,4.0,1948.0,1930.0,2035.0,2025.0,WN,53.0,,47.0,55.0,,10.0,18.0,7.0,HOU,239.0,,,0.0,,0.0,,,,,,
121514,1987.0,10.0,6,2.0,1813.0,1800.0,2120.0,2119.0,TW,282.0,,127.0,139.0,,1.0,13.0,1.0,LGA,887.0,,,0.0,,0.0,,,,,,
99500,1987.0,11.0,10,2.0,1030.0,1030.0,1152.0,1130.0,PA (1),248.0,,82.0,60.0,,22.0,0.0,2.0,LGA,214.0,,,0.0,,0.0,,,,,,
130869,1987.0,10.0,27,2.0,1327.0,1319.0,1644.0,1619.0,TW,704.0,,137.0,120.0,,25.0,8.0,1.0,DCA,719.0,,,0.0,,0.0,,,,,,
59777,1987.0,12.0,16,3.0,1050.0,959.0,1123.0,1025.0,TW,629.0,,33.0,26.0,,58.0,51.0,22.0,CID,69.0,,,0.0,,0.0,,,,,,
35104,1987.0,10.0,24,6.0,1944.0,1945.0,2110.0,2109.0,PI,46.0,,86.0,84.0,,1.0,-1.0,6.0,CLT,468.0,,,0.0,,0.0,,,,,,
38905,1987.0,12.0,28,1.0,1211.0,1201.0,1307.0,1259.0,PS,1841.0,,56.0,58.0,,8.0,10.0,3.0,MRY,267.0,,,0.0,,0.0,,,,,,
249668,1987.0,10.0,8,4.0,1319.0,1319.0,1533.0,1530.0,EA,832.0,,134.0,131.0,,3.0,0.0,6.0,PHL,861.0,,,0.0,,0.0,,,,,,
149505,1987.0,11.0,27,5.0,1459.0,1500.0,1727.0,1725.0,PS,1700.0,,148.0,145.0,,2.0,-1.0,0.0,LAX,954.0,,,0.0,,0.0,,,,,,
83663,1987.0,12.0,1,2.0,912.0,847.0,1208.0,1125.0,EA,773.0,,176.0,158.0,,43.0,25.0,9.0,MCO,1050.0,,,0.0,,0.0,,,,,,
122242,1987.0,10.0,3,6.0,1643.0,1645.0,1655.0,1710.0,PI,702.0,,72.0,85.0,,-15.0,-2.0,6.0,PNS,380.0,,,0.0,,0.0,,,,,,
730,1987.0,12.0,22,2.0,645.0,645.0,835.0,812.0,CO,565.0,,170.0,147.0,,23.0,0.0,10.0,DEN,895.0,,,0.0,,0.0,,,,,,
100776,1987.0,10.0,25,7.0,1646.0,1645.0,1756.0,1758.0,AA,127.0,,130.0,133.0,,-2.0,1.0,2.0,ORD,612.0,,,0.0,,0.0,,,,,,
180142,1987.0,11.0,16,1.0,751.0,752.0,831.0,844.0,UA,591.0,,100.0,112.0,,-13.0,-1.0,5.0,ORD,607.0,,,0.0,,0.0,,,,,,
249634,1987.0,11.0,17,2.0,715.0,715.0,835.0,843.0,NW,796.0,,80.0,88.0,,-8.0,0.0,5.0,DTW,374.0,,,0.0,,0.0,,,,,,
108858,1987.0,10.0,24,6.0,1440.0,1441.0,1633.0,1622.0,TW,99.0,,233.0,221.0,,11.0,-1.0,1.0,SAN,1558.0,,,0.0,,0.0,,,,,,
63379,1987.0,10.0,8,4.0,1323.0,1324.0,1514.0,1516.0,AA,237.0,,111.0,112.0,,-2.0,-1.0,1.0,DFW,551.0,,,0.0,,0.0,,,,,,
1137,1987.0,11.0,28,6.0,1815.0,1815.0,2152.0,2138.0,DL,1563.0,,337.0,323.0,,14.0,0.0,3.0,HNL,2556.0,,,0.0,,0.0,,,,,,
205075,1987.0,11.0,12,4.0,1355.0,1355.0,1417.0,1418.0,EA,990.0,,22.0,23.0,,-1.0,0.0,12.0,STX,45.0,,,0.0,,0.0,,,,,,
67927,1987.0,10.0,6,2.0,1200.0,1200.0,1430.0,1438.0,DL,518.0,,150.0,158.0,,-8.0,0.0,6.0,BOS,1121.0,,,0.0,,0.0,,,,,,
39901,1987.0,11.0,9,1.0,2035.0,2036.0,2059.0,2106.0,PI,863.0,,24.0,30.0,,-7.0,-1.0,5.0,ELM,77.0,,,0.0,,0.0,,,,,,
10194,1987.0,10.0,18,7.0,1105.0,1035.0,1320.0,1216.0,NW,1059.0,,135.0,101.0,,64.0,30.0,9.0,DTW,548.0,,,0.0,,0.0,,,,,,
215571,1987.0,10.0,15,4.0,905.0,905.0,1111.0,1131.0,CO,160.0,,126.0,146.0,,-20.0,0.0,8.0,TPA,810.0,,,0.0,,0.0,,,,,,
137939,1987.0,10.0,8,4.0,1005.0,1005.0,1243.0,1235.0,TW,612.0,,98.0,90.0,,8.0,0.0,1.0,CLE,487.0,,,0.0,,0.0,,,,,,
80698,1987.0,11.0,25,3.0,1810.0,1755.0,1904.0,1844.0,DL,253.0,,54.0,49.0,,20.0,15.0,6.0,MIA,193.0,,,0.0,,0.0,,,,,,
50024,1987.0,10.0,15,4.0,1920.0,1905.0,2207.0,2140.0,AS,94.0,,167.0,155.0,,27.0,15.0,0.0,LAX,954.0,,,0.0,,0.0,,,,,,
219331,1987.0,11.0,20,5.0,1125.0,1110.0,1230.0,1220.0,WN,445.0,,65.0,70.0,,10.0,15.0,10.0,BNA,395.0,,,0.0,,0.0,,,,,,
203475,1987.0,10.0,8,4.0,1005.0,1005.0,1243.0,1235.0,TW,612.0,,98.0,90.0,,8.0,0.0,1.0,CLE,487.0,,,0.0,,0.0,,,,,,
64313,1987.0,10.0,25,7.0,1630.0,1620.0,1730.0,1717.0,US,423.0,,60.0,57.0,,13.0,10.0,5.0,BOS,264.0,,,0.0,,0.0,,,,,,
44444,1987.0,12.0,13,7.0,651.0,655.0,1008.0,931.0,UA,1208.0,,197.0,156.0,,37.0,-4.0,3.0,SEA,954.0,,,0.0,,0.0,,,,,,
1882,1987.0,11.0,1,7.0,1236.0,1225.0,1429.0,1428.0,CO,1099.0,,173.0,183.0,,1.0,11.0,8.0,IAH,1190.0,,,0.0,,0.0,,,,,,
79619,1987.0,11.0,11,3.0,2000.0,2000.0,2046.0,2055.0,WN,55.0,,46.0,55.0,,-9.0,0.0,7.0,HOU,239.0,,,0.0,,0.0,,,,,,
80590,1987.0,12.0,14,1.0,1230.0,1130.0,1735.0,1632.0,NW,8.0,,185.0,182.0,,63.0,60.0,0.0,MSP,1399.0,,,0.0,,0.0,,,,,,
174683,1987.0,11.0,27,5.0,2010.0,2005.0,2056.0,2055.0,WN,262.0,,46.0,50.0,,1.0,5.0,7.0,TUL,237.0,,,0.0,,0.0,,,,,,
77744,1987.0,11.0,16,1.0,905.0,842.0,1022.0,1002.0,TW,457.0,,137.0,140.0,,20.0,23.0,1.0,DEN,770.0,,,0.0,,0.0,,,,,,
108793,1987.0,11.0,13,5.0,1845.0,1845.0,2328.0,2339.0,AA,26.0,,163.0,174.0,,-11.0,0.0,3.0,DFW,1235.0,,,0.0,,0.0,,,,,,
23932,1987.0,12.0,16,3.0,1900.0,1900.0,2123.0,2005.0,CO,324.0,,143.0,65.0,,78.0,0.0,2.0,EWR,199.0,,,0.0,,0.0,,,,,,
30642,1987.0,12.0,24,4.0,1731.0,1730.0,2027.0,2002.0,UA,57.0,,356.0,332.0,,25.0,1.0,8.0,SFO,2419.0,,,0.0,,0.0,,,,,,
173304,1987.0,11.0,17,2.0,851.0,850.0,1057.0,1051.0,TW,429.0,,246.0,241.0,,6.0,1.0,1.0,ONT,1547.0,,,0.0,,0.0,,,,,,
244311,1987.0,11.0,25,3.0,2209.0,2150.0,2317.0,2245.0,HP,389.0,,68.0,55.0,,32.0,19.0,3.0,LAS,236.0,,,0.0,,0.0,,,,,,
138265,1987.0,12.0,8,2.0,1705.0,1705.0,1848.0,1858.0,NW,250.0,,103.0,113.0,,-10.0,0.0,9.0,DTW,548.0,,,0.0,,0.0,,,,,,
212874,1987.0,10.0,21,3.0,1155.0,1155.0,1410.0,1415.0,EA,840.0,,135.0,140.0,,-5.0,0.0,6.0,LGA,950.0,,,0.0,,0.0,,,,,,
81763,1987.0,10.0,8,4.0,2235.0,2245.0,2258.0,2305.0,NW,599.0,,23.0,20.0,,-7.0,-10.0,29.0,LSE,69.0,,,0.0,,0.0,,,,,,
202944,1987.0,11.0,2,1.0,1110.0,1110.0,1308.0,1312.0,TW,321.0,,238.0,242.0,,-4.0,0.0,1.0,LGB,1582.0,,,0.0,,0.0,,,,,,
171919,1987.0,10.0,3,6.0,1218.0,1200.0,1446.0,1417.0,PS,1805.0,,148.0,137.0,,29.0,18.0,3.0,SEA,954.0,,,0.0,,0.0,,,,,,
13147,1987.0,11.0,12,4.0,900.0,850.0,1101.0,1104.0,TW,223.0,,241.0,254.0,,-3.0,10.0,1.0,SFO,1736.0,,,0.0,,0.0,,,,,,
118227,1987.0,12.0,17,4.0,904.0,905.0,1010.0,1012.0,UA,801.0,,66.0,67.0,,-2.0,-1.0,8.0,JFK,228.0,,,0.0,,0.0,,,,,,
12999,1987.0,12.0,24,4.0,1436.0,1435.0,1525.0,1530.0,PI,163.0,,49.0,55.0,,-5.0,1.0,2.0,RDU,227.0,,,0.0,,0.0,,,,,,
226790,1987.0,12.0,11,5.0,1502.0,1430.0,1828.0,1750.0,UA,240.0,,146.0,140.0,,38.0,32.0,0.0,DEN,1024.0,,,0.0,,0.0,,,,,,
156298,1987.0,11.0,19,4.0,1648.0,1645.0,1729.0,1723.0,DL,586.0,,41.0,38.0,,6.0,3.0,9.0,BOS,91.0,,,0.0,,0.0,,,,,,
150078,1987.0,12.0,18,5.0,2032.0,2025.0,2153.0,2132.0,US,390.0,,81.0,67.0,,21.0,7.0,2.0,BUF,296.0,,,0.0,,0.0,,,,,,
10887,1987.0,12.0,10,4.0,1841.0,1843.0,2006.0,2002.0,TW,409.0,,85.0,79.0,,4.0,-2.0,1.0,TUL,351.0,,,0.0,,0.0,,,,,,
172242,1987.0,10.0,19,1.0,2053.0,2040.0,2202.0,2143.0,UA,919.0,,69.0,63.0,,19.0,13.0,8.0,CLE,288.0,,,0.0,,0.0,,,,,,
216577,1987.0,10.0,6,2.0,1841.0,1840.0,2021.0,2023.0,AA,359.0,,160.0,163.0,,-2.0,1.0,6.0,DFW,984.0,,,0.0,,0.0,,,,,,
34522,1987.0,12.0,3,4.0,700.0,640.0,737.0,711.0,NW,1411.0,,37.0,31.0,,26.0,20.0,29.0,MSP,85.0,,,0.0,,0.0,,,,,,
25529,1987.0,11.0,12,4.0,1855.0,1855.0,2052.0,2050.0,AS,144.0,,117.0,115.0,,2.0,0.0,0.0,OAK,671.0,,,0.0,,0.0,,,,,,
124684,1987.0,10.0,27,2.0,810.0,810.0,944.0,930.0,DL,194.0,,94.0,80.0,,14.0,0.0,6.0,ATL,403.0,,,0.0,,0.0,,,,,,
32625,1987.0,11.0,10,2.0,1046.0,1045.0,1647.0,1633.0,AA,194.0,,241.0,228.0,,14.0,1.0,3.0,ORD,1745.0,,,0.0,,0.0,,,,,,
33986,1987.0,11.0,10,2.0,728.0,730.0,837.0,835.0,PI,923.0,,69.0,65.0,,2.0,-2.0,5.0,CLE,317.0,,,0.0,,0.0,,,,,,
102773,1987.0,10.0,25,7.0,838.0,840.0,917.0,926.0,UA,991.0,,99.0,106.0,,-9.0,-2.0,8.0,MDW,577.0,,,0.0,,0.0,,,,,,
237518,1987.0,11.0,9,1.0,,1640.0,,1804.0,TW,375.0,,,144.0,,,,2.0,STL,719.0,,,1.0,,0.0,,,,,,
8317,1987.0,11.0,23,1.0,1630.0,1630.0,1732.0,1742.0,TW,557.0,,62.0,72.0,,-10.0,0.0,10.0,STL,251.0,,,0.0,,0.0,,,,,,
13446,1987.0,11.0,7,6.0,1102.0,1105.0,1132.0,1136.0,CO,1061.0,,90.0,91.0,,-4.0,-3.0,11.0,LAS,487.0,,,0.0,,0.0,,,,,,
18644,1987.0,10.0,30,5.0,1815.0,1800.0,1929.0,1913.0,AA,2129.0,,74.0,73.0,,16.0,15.0,3.0,SFO,337.0,,,0.0,,0.0,,,,,,
12840,1987.0,11.0,25,3.0,859.0,858.0,1115.0,1118.0,TW,185.0,,256.0,260.0,,-3.0,1.0,1.0,SJC,1716.0,,,0.0,,0.0,,,,,,
13176,1987.0,12.0,23,3.0,1130.0,1115.0,1342.0,1318.0,TW,653.0,,132.0,123.0,,24.0,15.0,1.0,AUS,722.0,,,0.0,,0.0,,,,,,
135581,1987.0,12.0,14,1.0,2216.0,2215.0,555.0,611.0,AA,92.0,,279.0,296.0,,-16.0,1.0,3.0,IAD,2288.0,,,0.0,,0.0,,,,,,
169727,1987.0,12.0,4,5.0,,1800.0,,1914.0,UA,1122.0,,,74.0,,,,3.0,SFO,337.0,,,1.0,,0.0,,,,,,
6435,1987.0,10.0,6,2.0,1135.0,1122.0,1220.0,1200.0,DL,835.0,,45.0,38.0,,20.0,13.0,0.0,PDX,129.0,,,0.0,,0.0,,,,,,
251351,1987.0,10.0,4,7.0,855.0,855.0,1115.0,1120.0,UA,1203.0,,140.0,145.0,,-5.0,0.0,0.0,LAX,954.0,,,0.0,,0.0,,,,,,
20722,1987.0,11.0,12,4.0,656.0,655.0,933.0,931.0,UA,1208.0,,157.0,156.0,,2.0,1.0,3.0,SEA,954.0,,,0.0,,0.0,,,,,,
15654,1987.0,10.0,13,2.0,705.0,705.0,908.0,900.0,TW,624.0,,63.0,55.0,,8.0,0.0,1.0,SDF,254.0,,,0.0,,0.0,,,,,,
148385,1987.0,12.0,13,7.0,1807.0,1807.0,2037.0,2033.0,EA,117.0,,150.0,146.0,,4.0,0.0,9.0,ATL,859.0,,,0.0,,0.0,,,,,,
217571,1987.0,11.0,10,2.0,1326.0,1322.0,1718.0,1644.0,TW,136.0,,172.0,142.0,,34.0,4.0,1.0,EWR,872.0,,,0.0,,0.0,,,,,,
253415,1987.0,11.0,22,7.0,1455.0,1445.0,1712.0,1700.0,HP,428.0,,77.0,75.0,,12.0,10.0,3.0,PHX,370.0,,,0.0,,0.0,,,,,,
173914,1987.0,11.0,13,5.0,804.0,805.0,1250.0,1255.0,AA,623.0,,226.0,230.0,,-5.0,-1.0,9.0,SJU,1666.0,,,0.0,,0.0,,,,,,
87788,1987.0,11.0,5,4.0,1000.0,1000.0,1043.0,1045.0,US,141.0,,43.0,45.0,,-2.0,0.0,8.0,PHF,135.0,,,0.0,,0.0,,,,,,
23037,1987.0,10.0,27,2.0,1254.0,1255.0,1431.0,1432.0,UA,1053.0,,97.0,97.0,,-1.0,-1.0,0.0,SMF,605.0,,,0.0,,0.0,,,,,,
241281,1987.0,11.0,13,5.0,1401.0,1400.0,1510.0,1504.0,CO,314.0,,69.0,64.0,,6.0,1.0,2.0,EWR,199.0,,,0.0,,0.0,,,,,,
11706,1987.0,11.0,9,1.0,1435.0,1435.0,1526.0,1530.0,PI,163.0,,51.0,55.0,,-4.0,0.0,2.0,RDU,227.0,,,0.0,,0.0,,,,,,
164406,1987.0,12.0,23,3.0,954.0,949.0,1308.0,1259.0,TW,226.0,,134.0,130.0,,9.0,5.0,1.0,TPA,869.0,,,0.0,,0.0,,,,,,
180076,1987.0,10.0,27,2.0,705.0,705.0,750.0,755.0,WN,223.0,,45.0,50.0,,-5.0,0.0,7.0,AUS,189.0,,,0.0,,0.0,,,,,,
194897,1987.0,12.0,23,3.0,1515.0,1500.0,1648.0,1641.0,EA,541.0,,93.0,101.0,,7.0,15.0,8.0,ATL,533.0,,,0.0,,0.0,,,,,,
149051,1987.0,11.0,26,4.0,108.0,100.0,542.0,544.0,DL,500.0,,154.0,164.0,,-2.0,8.0,3.0,DFW,1235.0,,,0.0,,0.0,,,,,,
218774,1987.0,12.0,30,3.0,1347.0,1330.0,1439.0,1420.0,PI,771.0,,52.0,50.0,,19.0,17.0,6.0,MIA,193.0,,,0.0,,0.0,,,,,,
18523,1987.0,11.0,25,3.0,940.0,940.0,1205.0,1208.0,NW,440.0,,145.0,148.0,,-3.0,0.0,6.0,DTW,957.0,,,0.0,,0.0,,,,,,
91455,1987.0,10.0,1,4.0,1756.0,1735.0,1917.0,1841.0,PS,1958.0,,81.0,66.0,,36.0,21.0,3.0,PHX,370.0,,,0.0,,0.0,,,,,,
244930,1987.0,10.0,9,5.0,1423.0,1424.0,1522.0,1512.0,UA,1043.0,,59.0,48.0,,10.0,-1.0,8.0,ORF,157.0,,,0.0,,0.0,,,,,,
148794,1987.0,11.0,29,7.0,1915.0,1846.0,2132.0,2101.0,TW,249.0,,257.0,255.0,,31.0,29.0,1.0,SJC,1716.0,,,0.0,,0.0,,,,,,
167208,1987.0,12.0,3,4.0,1857.0,1800.0,1952.0,1855.0,PI,364.0,,55.0,55.0,,57.0,57.0,2.0,RDU,227.0,,,0.0,,0.0,,,,,,
75410,1987.0,12.0,10,4.0,1350.0,1340.0,1450.0,1450.0,WN,554.0,,60.0,70.0,,0.0,10.0,11.0,PHX,328.0,,,0.0,,0.0,,,,,,
157223,1987.0,12.0,14,1.0,,1445.0,,1547.0,UA,888.0,,,62.0,,,,1.0,ORD,258.0,,,1.0,,0.0,,,,,,
225771,1987.0,11.0,9,1.0,2121.0,2121.0,2209.0,2207.0,TW,745.0,,48.0,46.0,,2.0,0.0,3.0,PSP,110.0,,,0.0,,0.0,,,,,,
120186,1987.0,11.0,12,4.0,1308.0,1305.0,1908.0,1902.0,AA,192.0,,240.0,237.0,,6.0,3.0,3.0,ORD,1745.0,,,0.0,,0.0,,,,,,
174073,1987.0,10.0,16,5.0,901.0,851.0,,1045.0,TW,429.0,,,234.0,,,10.0,1.0,ONT,1547.0,,,0.0,,1.0,,,,,,
203261,1987.0,12.0,15,2.0,1906.0,1740.0,2035.0,1912.0,NW,1650.0,,89.0,92.0,,83.0,86.0,2.0,BOS,399.0,,,0.0,,0.0,,,,,,
30137,1987.0,10.0,27,2.0,700.0,700.0,1227.0,1227.0,NW,300.0,,207.0,207.0,,0.0,0.0,3.0,MSP,1536.0,,,0.0,,0.0,,,,,,
152501,1987.0,10.0,2,5.0,701.0,700.0,838.0,820.0,UA,1100.0,,97.0,80.0,,18.0,1.0,3.0,SFO,337.0,,,0.0,,0.0,,,,,,
213345,1987.0,10.0,14,3.0,1432.0,1415.0,1620.0,1609.0,DL,277.0,,168.0,174.0,,11.0,17.0,2.0,DFW,1192.0,,,0.0,,0.0,,,,,,
95681,1987.0,11.0,2,1.0,1210.0,1210.0,1408.0,1421.0,CO,529.0,,178.0,191.0,,-13.0,0.0,2.0,IAH,1208.0,,,0.0,,0.0,,,,,,
94072,1987.0,10.0,1,4.0,641.0,640.0,740.0,740.0,US,247.0,,59.0,60.0,,0.0,1.0,5.0,DCA,298.0,,,0.0,,0.0,,,,,,
40464,1987.0,10.0,11,7.0,2010.0,2010.0,2240.0,2223.0,DL,815.0,,150.0,133.0,,17.0,0.0,9.0,ATL,859.0,,,0.0,,0.0,,,,,,
161523,1987.0,11.0,17,2.0,830.0,830.0,1016.0,1017.0,AA,7.0,,106.0,107.0,,-1.0,0.0,1.0,DFW,551.0,,,0.0,,0.0,,,,,,
21597,1987.0,12.0,24,4.0,1830.0,1830.0,1918.0,1910.0,AS,190.0,,48.0,40.0,,8.0,0.0,0.0,PDX,129.0,,,0.0,,0.0,,,,,,
210230,1987.0,10.0,15,4.0,1135.0,1125.0,1607.0,1603.0,DL,140.0,,152.0,158.0,,4.0,10.0,3.0,DFW,1235.0,,,0.0,,0.0,,,,,,
202698,1987.0,12.0,11,5.0,832.0,630.0,1153.0,945.0,CO,62.0,,141.0,135.0,,128.0,122.0,3.0,DEN,862.0,,,0.0,,0.0,,,,,,
197812,1987.0,12.0,24,4.0,1920.0,1900.0,2252.0,2240.0,CO,1.0,,332.0,340.0,,12.0,20.0,3.0,HNL,2556.0,,,0.0,,0.0,,,,,,
196111,1987.0,12.0,31,4.0,1217.0,1203.0,1328.0,1322.0,AA,2235.0,,71.0,79.0,,6.0,14.0,3.0,OAK,337.0,,,0.0,,0.0,,,,,,
154165,1987.0,10.0,31,6.0,1332.0,1337.0,1423.0,1437.0,PI,888.0,,51.0,60.0,,-14.0,-5.0,5.0,JFK,209.0,,,0.0,,0.0,,,,,,
237865,1987.0,11.0,24,2.0,1752.0,1734.0,1942.0,1915.0,UA,492.0,,110.0,101.0,,27.0,18.0,14.0,ORD,588.0,,,0.0,,0.0,,,,,,
